customer_id,name,age,email,salary,department,join_date,is_active,performance_score
2ohuswkkx9xcv,8wib4b5rmejy,76,9wp47aroqjtfh75dtxxzy,47209,Engineering,2020-02-02 07:22:07,False,9.455221877676882
bx3bu6lvy01po,3gfcmczxfl9,61,jlaypesdfzinioth5us24fd,86781,Sales,2020-01-31 15:31:57,True,3.7714016494538916
cguirdynizbt1,k7zru9v33h7,22,2caou4gqsc382n813zg4e8n,49220,Engineering,2020-04-04 19:26:50,True,9.333348675917
gh8nq9dbfd2rz,itysekohsw,73,90x2vhoedkr3ofpi70m90ie,80013,Engineering,2020-01-25 22:41:25,True,9.651520994470344
7j9n4ohnwuprx,5z0s26ss6pwg,48,v4c3u8f15y58vx354w6y9x4,75787,Marketing,2020-01-23 08:41:48,True,2.60374349472835
zy2oaygixahxk,5lhe1ezevom,47,mjwr5691pprhpkfal1qa5h,74553,Engineering,2020-01-12 03:49:51,False,9.743755991668058
qh886e1gihl76,w6r3zpm6za,53,xjj9yjsopb2d24qj0o4uz9,100526,Sales,2020-03-15 21:22:01,True,2.088975514308394
wx8v08a8ncaez,bfxr0h1jq2,28,cnm0aq7nqc7yb7z4i3tu2,119879,Marketing,2020-01-03 22:09:32,True,3.233129805194716
n0ioozm55d3wo,fnvfzl8nvwg,47,yyizplxztiw24stw03u8gvj,85244,HR,2020-02-24 08:53:59,True,5.176166418448847
29m5gv1bf11t3,ymujiobym77,69,wo37mdrw67798q1n7km6b72,45779,Marketing,2020-03-16 12:51:51,True,9.908237126784119
k1y6a0mcfh0i6,cfscrileck3d,20,dlz1ctjr040afk7tuurus,79055,Engineering,2020-02-19 07:20:12,True,5.558521526767442
xo55xlbcqbb1w,a012rlmbpx,35,r2ym0sasaquvo5d5da6gi,61189,Marketing,2020-03-08 20:00:12,True,6.091186750487557
56asbz5f5dkqx,v9k28o4pj5bx,19,prfbidwhyp8qr0oqepo7s,124415,Engineering,2020-01-26 20:41:27,True,7.331550972385172
e7fvkp6ifp2ct,b4z2cnyaczri,44,jezvwmit1x6t3iq9nsgc65k,92535,HR,2020-03-04 22:56:16,True,9.690302695823608
9szcst5g6rak1,wuau0f91qcl,63,bzdqq13wx2d2s0298fwhbm,85402,Marketing,2020-01-10 05:40:53,True,8.0974489684035
yw438gpzbale5,lbvw3eiuke80,67,u4909wumzgvw3rrj3zgge,91466,Marketing,2020-01-01 11:46:09,True,3.2812422958879344
